parcode,trial,fix_item,fix_time,rt,block
1,150,1,572,2079.715,LESS
1,150,2,730,2079.715,LESS
1,150,1,540.715,2079.715,LESS
1,151,0,58,1666.103,LESS
1,151,1,538,1666.103,LESS
1,151,2,592,1666.103,LESS
1,151,1,478.103,1666.103,LESS
1,152,0,0,2426.928,LESS
1,152,1,826,2426.928,LESS
1,152,2,580,2426.928,LESS
1,152,1,1020.928,2426.928,LESS
1,153,0,173,3263.299,LESS
1,153,1,1400,3263.299,LESS
1,153,2,656,3263.299,LESS
1,153,1,566,3263.299,LESS
1,153,2,468.299,3263.299,LESS
1,154,0,358,1723.836,LESS
1,154,1,634,1723.836,LESS
1,154,2,731.836,1723.836,LESS
1,155,0,146,1368.643,LESS
1,155,1,526,1368.643,LESS
1,155,2,696.643,1368.643,LESS
1,156,3,31,1368.643,LESS
1,156,1,606,1990.443,LESS
1,156,2,720,1990.443,LESS
1,156,1,633.443,1990.443,LESS
1,157,3,28,1990.443,LESS
1,157,1,798,2997.126,LESS
1,157,2,784,2997.126,LESS
1,157,1,858,2997.126,LESS
1,157,2,529.126,2997.126,LESS
1,158,0,190,1573.53,LESS
1,158,1,670,1573.53,LESS
1,158,2,713.53,1573.53,LESS
1,159,3,43,1573.53,LESS
1,159,1,696,2306.153,LESS
1,159,2,816,2306.153,LESS
1,159,1,751.153,2306.153,LESS
1,160,0,51,1686.53,MORE
1,160,1,590,1686.53,MORE
1,160,2,560,1686.53,MORE
1,160,1,485.53,1686.53,MORE
1,161,3,2,1686.53,MORE
1,161,1,488,2010.532,MORE
1,161,2,616,2010.532,MORE
1,161,1,570,2010.532,MORE
1,161,2,334.532,2010.532,MORE
1,162,0,15,2244.929,MORE
1,162,1,736,2244.929,MORE
1,162,2,664,2244.929,MORE
1,162,1,829.929,2244.929,MORE
1,163,3,0,2244.929,MORE
1,163,1,676,2092.94,MORE
1,163,2,728,2092.94,MORE
1,163,1,690.94,2092.94,MORE
1,164,0,19,1361.319,MORE
1,164,1,648,1361.319,MORE
1,164,2,694.319,1361.319,MORE
1,165,0,72,1596.589,MORE
1,165,1,694,1596.589,MORE
1,165,2,830.589,1596.589,MORE
1,166,0,240,2850.121,MORE
1,166,1,1072,2850.121,MORE
1,166,2,786,2850.121,MORE
1,166,1,752.121,2850.121,MORE
1,167,0,133,1380.897,MORE
1,167,1,608,1380.897,MORE
1,167,2,639.897,1380.897,MORE
1,168,0,44,1391.672,MORE
1,168,1,610,1391.672,MORE
1,168,2,737.672,1391.672,MORE
1,169,0,84,2101.903,MORE
1,169,1,596,2101.903,MORE
1,169,2,704,2101.903,MORE
1,169,1,717.903,2101.903,MORE
1,170,3,0,2101.903,MORE
1,170,1,887,1582.34,MORE
1,170,2,698.34,1582.34,MORE
1,171,0,170,2320.312,MORE
1,171,1,802,2320.312,MORE
1,171,2,602,2320.312,MORE
1,171,1,746.312,2320.312,MORE
1,172,3,13,2320.312,MORE
1,172,1,650,2184.782,MORE
1,172,2,908,2184.782,MORE
1,172,1,613.782,2184.782,MORE
1,173,0,1,2602.684,MORE
1,173,1,816,2602.684,MORE
1,173,2,1000,2602.684,MORE
1,173,1,785.684,2602.684,MORE
1,174,0,161,2890.742,MORE
1,174,1,720,2890.742,MORE
1,174,2,910,2890.742,MORE
1,174,1,728,2890.742,MORE
1,174,2,371.742,2890.742,MORE
1,175,0,135,1954.547,MORE
1,175,1,1110,1954.547,MORE
1,175,2,709.547,1954.547,MORE
1,176,3,5,1954.547,MORE
1,176,1,794,1901.984,MORE
1,176,2,1102.984,1901.984,MORE
1,177,3,39,1901.984,MORE
1,177,1,1122,3133.506,MORE
1,177,2,726,3133.506,MORE
1,177,1,706,3133.506,MORE
1,177,2,540.506,3133.506,MORE
1,178,0,70,2545.418,MORE
1,178,1,602,2545.418,MORE
1,178,2,708,2545.418,MORE
1,178,1,824,2545.418,MORE
1,178,2,341.418,2545.418,MORE
1,179,3,0,2545.418,MORE
1,179,1,882,2023.468,MORE
1,179,2,644,2023.468,MORE
1,179,1,499.468,2023.468,MORE
1,180,0,15,3330.755,MORE
1,180,1,1036,3330.755,MORE
1,180,2,1418,3330.755,MORE
1,180,1,634,3330.755,MORE
