,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,RT
250,3,10,5005.184,1,46,50,0.463347165,0.536652835,5007.184
251,3,11,5040.511,1,80,83,0.438075585,0.561924415,4606.511
252,3,12,7641.814,0,50,56,0.59315028,0.40684972,7885.814
253,3,13,3350.826,1,50,47,0.5409699,0.4590301,3371.826
254,3,14,3213.827,1,110,124,0.589779986,0.410220014,3283.827
255,3,15,5841.773,0,91,80,0.571709426,0.428290574,5506.773
256,3,16,2625.496,1,64,80,0.535692104,0.464307896,2625.496
257,3,17,4849.473,1,83,80,0.488130698,0.511869302,4849.473
258,3,18,3451.203,1,101,110,0.451743715,0.548256285,3902.203
259,3,19,7469.588,0,56,50,0.540899797,0.459100203,7018.588
260,3,20,3372.03,0,50,42,0.576283442,0.423716558,3648.03
261,3,21,6138.022,0,110,117,0.574890712,0.425109288,5862.022
262,3,22,6402.819,0,77,80,0.518623467,0.481376533,6402.819
263,3,23,4444.338,1,80,91,0.468469475,0.531530525,4444.338
264,3,24,2608.586,1,44,50,0.38134715,0.61865285,3041.586
265,3,25,5440.032,1,50,57,0.471543222,0.528456778,5007.032
266,3,26,5260.323,0,50,46,0.633438443,0.366561557,5260.323
267,3,27,2857.7,1,110,108,0.507488987,0.492511013,3234.7
268,3,28,4622.699,0,133,110,0.618259804,0.381740196,4555.699
269,3,29,4792.599,0,131,110,0.670713195,0.329286805,4482.599
270,3,30,6148.765,0,126,110,0.571692535,0.428307465,6497.765
271,3,31,4290.5,1,110,133,0.569994423,0.430005577,4300.5
272,3,32,5208.041,0,110,126,0.558757317,0.441242683,5255.041
273,3,33,3034.445,1,48,50,0.575245059,0.424754941,2628.445
274,3,34,3584.427,0,80,77,0.539908893,0.460091107,3584.427
275,3,35,6892.869,0,117,110,0.699638515,0.300361485,7255.869
276,3,36,2476.989,1,80,64,0.468308965,0.531691035,2113.989
277,3,37,5866.721,0,80,78,0.583522298,0.416477702,6186.721
278,3,38,7484.359,1,124,110,0.45231377,0.54768623,7504.359
279,3,39,2500.835,1,92,110,0.591438032,0.408561968,2160.835
280,3,40,3428.153,0,128,110,0.734402737,0.265597263,3155.153
281,3,41,2432.49,1,50,58,0.480300678,0.519699322,2432.49
282,3,42,4460.86,0,54,50,0.545592391,0.454407609,4460.86
283,3,43,3493.201,0,80,69,0.669247009,0.330752991,3930.201
284,3,44,3374.089,1,105,110,0.4276343,0.5723657,2937.089
285,3,45,2623.875,0,55,50,0.630392157,0.369607843,2891.875
286,3,46,4936.822,0,96,80,0.563989428,0.436010572,4668.822
287,3,47,6600.851,0,80,75,0.598836948,0.401163052,6600.851
288,3,48,3039.455,1,110,128,0.38854093,0.61145907,3039.455
289,3,49,4171.929,0,59,50,0.562903226,0.437096774,4415.929
290,3,50,2621.556,1,110,119,0.397894649,0.602105351,2377.556
291,3,51,4225.163,0,52,50,0.531341273,0.468658727,4225.163
292,3,52,1730.156,1,58,50,0.356710987,0.643289013,1730.156
293,3,53,2161.17,0,119,110,0.630097486,0.369902514,2161.17
294,3,54,5793.635,0,74,80,0.483615618,0.516384382,5793.635
295,3,55,6880.526,0,86,80,0.517360025,0.482639975,7203.526
296,3,56,1503.644,1,66,80,0.447213555,0.552786445,1180.644
297,3,57,3599.021,1,50,59,0.205172414,0.794827586,3880.021
298,3,58,4647.386,1,94,110,0.49818324,0.50181676,4366.386
299,3,59,2104.608,0,110,87,0.642343031,0.357656969,2104.608
300,3,60,3663.508,1,75,80,0.431866651,0.568133349,3663.508
301,3,61,1428.75,1,50,45,0.447329843,0.552670157,1428.75
302,3,62,1818.229,1,89,110,0.357870645,0.642129355,1818.229
303,3,63,2621.649,1,80,94,0.496395143,0.503604857,2621.649
304,3,64,1861.231,0,110,98,0.597186701,0.402813299,2091.231
305,3,65,1986.401,0,94,80,0.646634615,0.353365385,2043.401
306,3,66,2072.406,1,110,94,0.383106139,0.616893861,1785.406
307,3,67,2149.11,0,80,66,0.616468039,0.383531961,2765.11
308,3,68,1708.406,1,50,54,0.216036895,0.783963105,1092.406
309,3,69,1849.511,1,98,110,0.283215959,0.716784041,1849.511
310,3,70,1632.089,1,50,52,0.400662252,0.599337748,1827.089
311,3,71,1427.93,0,110,89,0.66908097,0.33091903,1232.93
312,3,72,2591.58,1,87,110,0.389858307,0.610141693,2591.58
313,3,73,3163.686,1,110,105,0.401476015,0.598523985,3507.686
314,3,74,2995.507,1,80,96,0.189989785,0.810010215,2914.507
315,3,75,2408.271,1,80,86,0.230235784,0.769764216,2382.271
316,3,76,1715.706,1,50,55,0.369661267,0.630338733,1728.706
317,3,77,4161.494,0,80,74,0.599641467,0.400358533,3911.494
318,3,78,4250.03,1,45,50,0.126687012,0.873312988,4250.03
319,3,79,1883.502,1,69,80,0.302827239,0.697172761,1883.502
320,3,80,3463.021,1,50,53,0.477657485,0.522342515,3463.021
321,3,81,4614.063,1,50,40,0.517150396,0.482849604,4992.063
322,3,82,3670.417,1,80,88,0.473147519,0.526852481,3558.417
323,3,83,1955.291,0,115,110,0.595744681,0.404255319,2021.291
324,3,84,2539.423,1,103,110,0.284494635,0.715505365,2207.423
325,3,85,2504.688,0,90,80,0.617121355,0.382878645,2782.688
326,3,86,2264.841,0,80,72,0.617483231,0.382516769,1986.841
327,3,87,3871.268,0,93,80,0.539272274,0.460727726,3871.268
328,3,88,2988.316,0,80,90,0.577517021,0.422482979,2988.316
329,3,89,3182.992,0,88,80,0.627873563,0.372126437,3423.992
330,3,90,2879.908,1,80,70,0.469133445,0.530866555,2638.908
331,3,91,3832.523,1,80,93,0.561487415,0.438512585,3832.523
332,3,92,3374.473,0,82,80,0.729677699,0.270322301,3374.473
333,3,93,4296.539,0,50,41,0.463253846,0.536746154,4296.539
334,3,94,1664.744,1,96,110,0.364583045,0.635416955,1664.744
335,3,95,1615.953,1,80,85,0.313281163,0.686718837,1615.953
336,3,96,3923.588,1,60,50,0.353969061,0.646030939,3923.588
337,3,97,4026.835,1,41,50,0.326970723,0.673029277,4026.835
338,3,98,1902.077,0,110,96,0.589142982,0.410857018,1902.077
339,3,99,5104.126,1,72,80,0.380628639,0.619371361,5104.126
340,3,100,2092.791,1,49,50,0.29587156,0.70412844,2371.791
341,3,101,1598.885,1,43,50,0.387912583,0.612087417,1319.885
342,3,102,3318.872,0,51,50,0.578125,0.421875,3829.872
343,3,103,4246.255,0,112,110,0.572762219,0.427237781,4136.255
344,3,104,4098.269,1,40,50,0.300199051,0.699800949,3697.269
345,3,105,4183.034,0,50,51,0.484038911,0.515961089,4183.034
346,3,106,1733.372,1,85,80,0.380581267,0.619418733,1733.372
347,3,107,4202.163,1,50,49,0.35804782,0.64195218,4202.163
348,3,108,2356.3,0,50,43,0.490374873,0.509625127,2707.3
349,3,109,1870.494,1,80,82,0.325108227,0.674891773,1519.494
350,3,110,1738.671,1,50,60,0.392405063,0.607594937,1941.671
351,3,111,2082.474,1,53,50,0.287314429,0.712685571,1879.474
352,3,112,2463.471,1,122,110,0.440175695,0.559824305,2463.471
353,3,113,1543.887,1,67,80,0.339590444,0.660409556,1799.887
354,3,114,2664.14,0,80,67,0.547920434,0.452079566,2578.14
355,3,115,6240.445,1,70,80,0.356810745,0.643189255,6070.445
356,3,116,2168.694,1,110,122,0.40801509,0.59198491,2168.694
357,3,117,2788.367,0,110,115,0.640389725,0.359610275,3015.367
358,3,118,1900.364,1,110,112,0.38246311,0.61753689,1673.364
359,3,119,2711.223,1,110,103,0.272440514,0.727559486,2711.223
360,4,0,3753.06,1,110,131,0.471481336,0.528518664,3525.06
361,4,1,2852.768,1,47,50,0.534293743,0.465706257,2852.768
362,4,2,7578.454,1,50,44,0.558374983,0.441625017,7578.454
363,4,3,19368.146,0,57,50,0.470161877,0.529838123,19368.146
364,4,4,3215.312,1,42,50,0.466484089,0.533515911,3215.312
365,4,5,1942.017,1,108,110,0.617667925,0.382332075,1942.017
366,4,6,1587.571,1,78,80,0.560239583,0.439760417,1587.571
367,4,7,2246.732,0,110,92,0.644321042,0.355678958,2246.732
368,4,8,2550.21,0,50,48,0.56159335,0.43840665,2550.21
369,4,9,5602.05,1,110,101,0.479721536,0.520278464,5602.05
370,4,10,1793.482,1,46,50,0.567954729,0.432045271,1793.482
371,4,11,5781.335,1,80,83,0.767480812,0.232519188,5781.335
372,4,12,1880.978,1,50,56,0.628707817,0.371292183,1880.978
373,4,13,3078.102,1,50,47,0.519508065,0.480491935,3080.102
374,4,14,9843.826,1,110,124,0.503609822,0.496390178,9843.826
375,4,15,11180.726,0,91,80,0.438233325,0.561766675,11180.726
376,4,16,1902.12,1,64,80,0.477868389,0.522131611,1902.12
377,4,17,1910.42,1,83,80,0.628426829,0.371573171,1910.42
378,4,18,2634.23,1,101,110,0.499746416,0.500253584,2634.23
379,4,19,2586.458,1,56,50,0.472154648,0.527845352,2586.458
380,4,20,4955.317,1,50,42,0.505448242,0.494551758,4955.317
381,4,21,2957.897,1,110,117,0.520265216,0.479734784,2957.897
382,4,22,11515.408,1,77,80,0.466909773,0.533090227,11515.408
383,4,23,2351.575,1,80,91,0.633862913,0.366137087,2351.575
384,4,24,3137.373,1,44,50,0.467783785,0.532216215,3137.373
385,4,25,1736.937,1,50,57,0.495095989,0.504904011,1736.937
386,4,26,2057.448,1,50,46,0.38075816,0.61924184,2057.448
387,4,27,11483.744,1,110,108,0.540569517,0.459430483,11483.744
388,4,28,1873.12,0,133,110,0.620075385,0.379924615,1873.12
389,4,29,3187.65,0,131,110,0.538639371,0.461360629,3187.65
390,4,30,5174.183,0,126,110,0.543936374,0.456063626,5174.183
391,4,31,6284.96,1,110,133,0.510113512,0.489886488,6284.96
392,4,32,2648.892,1,110,126,0.645635534,0.354364466,2648.892
393,4,33,3745.233,1,48,50,0.476104849,0.523895151,3745.233
394,4,34,5846.379,1,80,77,0.587456616,0.412543384,5846.379
395,4,35,2244.629,1,117,110,0.700191042,0.299808958,2244.629
396,4,36,4492.143,0,80,64,0.565354135,0.434645865,4492.143
397,4,37,2831.068,1,80,78,0.518519198,0.481480802,2831.068
398,4,38,5841.602,1,124,110,0.58147573,0.41852427,5841.602
399,4,39,2507.425,1,92,110,0.694322681,0.305677319,2507.425
400,4,40,17445.725,0,128,110,0.487261657,0.512738343,17445.725
401,4,41,1605.944,1,50,58,0.444141941,0.555858059,1605.944
402,4,42,4883.308,0,54,50,0.566038072,0.433961928,4883.308
403,4,43,1537.096,1,80,69,0.412855319,0.587144681,1537.096
404,4,44,2097.817,1,105,110,0.653833239,0.346166761,2097.817
