,Part,TrialN,PairID,LValue,RValue,ChosenITM,ChoiceRT,Conf,ConfRT,BlockCond,tDDT,lIA_DT,rIA_DT,tGSF,lastFixat,DV,zDV,absDV,zAbsDV,zConf,zChoiceRT,TotVal,ValCh,ValUnCh,Correct,zTotVal,zValCh,zValUnCh,zGSF,zDDT,absDDT,zValR,zValL,ConfSplit,GSFMedSplit,DDTMedSplit
59,1,60,6,56,50,0,4499.543,74,1357.733,MORE,-1232,2734,1502,4,2,-6,-0.562445076,6,-0.523822722,0.388833339,1.422477571,106,56,50,1,-1.077031484,-0.936400444,-1.170500555,1.312145182,-0.941450971,0.941450971,-1.170500555,-0.936400444,1,1,0
60,1,61,18,50,42,0,5571.061,74,991.395,MORE,-696,2884,2188,4,2,-8,-0.749926769,8,-0.174607574,0.388833339,2.296733592,92,50,42,1,-1.356261869,-1.170500555,-1.482634036,1.312145182,-0.289861907,0.289861907,-1.482634036,-1.170500555,1,1,0
61,1,62,43,110,117,1,2045.641,84,1732.67,MORE,556,1108,1664,1,2,7,0.656185922,7,-0.349215148,0.903276565,-0.579671344,227,110,117,0,1.336316841,1.170500555,1.443617351,-1.255095392,1.232133443,1.232133443,1.443617351,1.170500555,1,0,1
62,1,63,32,77,80,1,1402.112,64,2053.806,MORE,518,482,1000,1,2,3,0.281222538,3,-1.047645444,-0.125609888,-1.104729349,157,77,80,0,-0.059835082,-0.117050055,0,-1.255095392,1.185938696,1.185938696,0,-0.117050055,0,0,1
63,1,64,27,80,91,1,2736.625,74,1971.489,MORE,190,1316,1506,3,2,11,1.031149307,11,0.349215148,0.388833339,-0.015894606,171,80,91,0,0.219395302,0,0.429183537,0.456398324,0.787205089,0.787205089,0.429183537,0,1,1,1
64,1,65,16,44,50,1,2065.604,64,2403.31,MORE,294,818,1112,0,2,6,0.562445076,6,-0.523822722,-0.125609888,-0.563383449,94,44,50,0,-1.316371814,-1.404600665,-1.170500555,-2.11084225,0.913632818,0.913632818,-1.170500555,-1.404600665,0,0,1
65,1,66,7,50,57,1,3058.203,64,1657.954,MORE,-6,1416,1410,3,2,7,0.656185922,7,-0.349215148,-0.125609888,0.246482231,107,50,57,0,-1.057086457,-1.170500555,-0.897383758,0.456398324,0.548937447,0.548937447,-0.897383758,-1.170500555,0,1,1
66,1,67,14,50,46,1,1613.454,64,1014.648,MORE,358,608,966,1,2,-4,-0.374963384,4,-0.87303787,-0.125609888,-0.932294526,96,50,46,1,-1.276481759,-1.170500555,-1.326567295,-1.255095392,0.991434497,0.991434497,-1.326567295,-1.170500555,0,0,1
67,1,68,51,110,108,1,1931.482,84,1086.543,MORE,460,998,1458,1,2,-2,-0.187481692,2,-1.222253018,0.903276565,-0.67281415,218,110,108,1,1.156811594,1.170500555,1.092467184,-1.255095392,1.115430924,1.115430924,1.092467184,1.170500555,1,0,1
68,1,69,50,133,110,0,4895.517,74,964.583,MORE,-1858,3392,1534,4,2,-23,-2.15603946,23,2.444506035,0.388833339,1.745554415,243,133,110,1,1.655437281,2.067884313,1.170500555,1.312145182,-1.702448646,1.702448646,1.170500555,2.067884313,1,1,0
69,1,70,49,131,110,1,3197.86,34,1226.561,MORE,-104,1512,1408,2,2,-21,-1.968557767,21,2.095290887,-1.668939567,0.360428962,241,131,110,1,1.615547226,1.989850943,1.170500555,-0.399348534,0.429803626,0.429803626,1.170500555,1.989850943,0,0,1
70,1,71,47,126,110,1,2000.688,64,1976.766,MORE,1668,814,2482,1,2,-16,-1.499853537,16,1.222253018,-0.125609888,-0.616348685,236,126,110,1,1.515822089,1.794767517,1.170500555,-1.255095392,2.583937619,2.583937619,1.170500555,1.794767517,0,0,1
71,1,72,50,110,133,1,1921.251,94,1085.583,MORE,388,902,1290,1,2,23,2.15603946,23,2.444506035,1.417719791,-0.681161666,243,110,133,0,1.655437281,1.170500555,2.067884313,-1.255095392,1.027904035,1.027904035,2.067884313,1.170500555,1,0,1
72,1,73,47,110,126,1,2050.497,94,671.347,MORE,400,986,1386,1,2,16,1.499853537,16,1.222253018,1.417719791,-0.575709313,236,110,126,0,1.515822089,1.170500555,1.794767517,-1.255095392,1.042491849,1.042491849,1.794767517,1.170500555,1,0,1
73,1,74,12,48,50,1,2219.756,64,947.498,MORE,1160,504,1664,1,2,2,0.187481692,2,-1.222253018,-0.125609888,-0.437610187,98,48,50,0,-1.236591704,-1.248533925,-1.170500555,-1.255095392,1.96638679,1.96638679,-1.170500555,-1.248533925,0,0,1
74,1,75,32,80,77,1,1635.473,34,1756.646,MORE,298,644,942,0,2,-3,-0.281222538,3,-1.047645444,-1.668939567,-0.914329132,157,80,77,1,-0.059835082,0,-0.117050055,-2.11084225,0.918495423,0.918495423,-0.117050055,0,0,0,1
75,1,76,43,117,110,0,5608.432,64,1783.309,MORE,-674,2874,2200,6,1,-7,-0.656185922,7,-0.349215148,-0.125609888,2.327224748,227,117,110,1,1.336316841,1.443617351,1.170500555,3.023638899,-0.26311758,0.26311758,1.170500555,1.443617351,0,1,0
76,1,77,40,80,64,0,4443.018,34,914.203,MORE,-1002,2624,1622,4,1,-16,-1.499853537,16,1.222253018,-1.668939567,1.376358586,144,80,64,1,-0.31912044,0,-0.624266962,1.312145182,-0.661851186,0.661851186,-0.624266962,0,0,1,0
77,1,78,31,80,78,1,2620.927,100,1013.713,MORE,408,1098,1506,3,2,-2,-0.187481692,2,-1.222253018,1.726385727,-0.110293088,158,80,78,1,-0.039890055,0,-0.07803337,0.456398324,1.052217059,1.052217059,-0.07803337,0,1,1,1
