name,parcode,trial,fix_item,fix_time,rt,block
p1.edf,1,21,1,188,3641,2.0
p1.edf,1,21,1,230,3641,2.0
p1.edf,1,21,1,220,3641,2.0
p1.edf,1,21,2,352,3641,2.0
p1.edf,1,21,2,318,3641,2.0
p1.edf,1,21,2,280,3641,2.0
p1.edf,1,21,2,424,3641,2.0
p1.edf,1,21,2,168,3641,2.0
p1.edf,1,21,1,334,3641,2.0
p1.edf,1,21,1,286,3641,2.0
p1.edf,1,21,1,404,3641,2.0
p1.edf,1,22,3,248,4550,2.0
p1.edf,1,22,0,146,4550,2.0
p1.edf,1,22,1,332,4550,2.0
p1.edf,1,22,1,190,4550,2.0
p1.edf,1,22,1,284,4550,2.0
p1.edf,1,22,2,328,4550,2.0
p1.edf,1,22,2,200,4550,2.0
p1.edf,1,22,2,308,4550,2.0
p1.edf,1,22,2,218,4550,2.0
p1.edf,1,22,2,294,4550,2.0
p1.edf,1,22,1,352,4550,2.0
p1.edf,1,22,1,518,4550,2.0
p1.edf,1,22,1,646,4550,2.0
p1.edf,1,22,2,486,4550,2.0
p1.edf,1,23,3,239,2973,2.0
p1.edf,1,23,1,120,2973,2.0
p1.edf,1,23,1,262,2973,2.0
p1.edf,1,23,1,274,2973,2.0
p1.edf,1,23,2,278,2973,2.0
p1.edf,1,23,2,184,2973,2.0
p1.edf,1,23,2,318,2973,2.0
p1.edf,1,23,2,324,2973,2.0
p1.edf,1,23,2,550,2973,2.0
p1.edf,1,23,2,316,2973,2.0
p1.edf,1,23,2,108,2973,2.0
p1.edf,1,24,3,278,2824,2.0
p1.edf,1,24,1,186,2824,2.0
p1.edf,1,24,1,250,2824,2.0
p1.edf,1,24,1,390,2824,2.0
p1.edf,1,24,2,322,2824,2.0
p1.edf,1,24,2,214,2824,2.0
p1.edf,1,24,2,330,2824,2.0
p1.edf,1,24,2,434,2824,2.0
p1.edf,1,24,1,368,2824,2.0
p1.edf,1,24,1,52,2824,2.0
p1.edf,1,25,3,399,3643,2.0
p1.edf,1,25,1,442,3643,2.0
p1.edf,1,25,1,234,3643,2.0
p1.edf,1,25,1,126,3643,2.0
p1.edf,1,25,2,440,3643,2.0
p1.edf,1,25,2,260,3643,2.0
p1.edf,1,25,2,120,3643,2.0
p1.edf,1,25,1,372,3643,2.0
p1.edf,1,25,1,216,3643,2.0
p1.edf,1,25,1,254,3643,2.0
p1.edf,1,25,2,354,3643,2.0
p1.edf,1,25,1,346,3643,2.0
p1.edf,1,25,1,80,3643,2.0
p1.edf,1,26,3,58,2188,2.0
p1.edf,1,26,0,208,2188,2.0
p1.edf,1,26,1,280,2188,2.0
p1.edf,1,26,1,276,2188,2.0
p1.edf,1,26,1,194,2188,2.0
p1.edf,1,26,2,398,2188,2.0
p1.edf,1,26,2,346,2188,2.0
p1.edf,1,26,2,428,2188,2.0
p1.edf,1,27,3,234,3321,2.0
p1.edf,1,27,1,136,3321,2.0
p1.edf,1,27,1,256,3321,2.0
p1.edf,1,27,1,174,3321,2.0
p1.edf,1,27,2,446,3321,2.0
p1.edf,1,27,2,332,3321,2.0
p1.edf,1,27,2,302,3321,2.0
p1.edf,1,27,2,308,3321,2.0
p1.edf,1,27,2,292,3321,2.0
p1.edf,1,27,1,362,3321,2.0
p1.edf,1,27,2,479,3321,2.0
p1.edf,1,28,3,278,6784,2.0
p1.edf,1,28,1,154,6784,2.0
p1.edf,1,28,1,236,6784,2.0
p1.edf,1,28,1,390,6784,2.0
p1.edf,1,28,2,492,6784,2.0
p1.edf,1,28,2,252,6784,2.0
p1.edf,1,28,2,284,6784,2.0
p1.edf,1,28,1,360,6784,2.0
p1.edf,1,28,1,186,6784,2.0
p1.edf,1,28,1,1096,6784,2.0
p1.edf,1,28,1,220,6784,2.0
p1.edf,1,28,1,202,6784,2.0
p1.edf,1,28,1,164,6784,2.0
p1.edf,1,28,2,432,6784,2.0
p1.edf,1,28,2,304,6784,2.0
p1.edf,1,28,2,412,6784,2.0
p1.edf,1,28,2,460,6784,2.0
p1.edf,1,28,2,420,6784,2.0
p1.edf,1,28,1,382,6784,2.0
p1.edf,1,28,1,60,6784,2.0
p1.edf,1,29,3,271,2314,2.0
p1.edf,1,29,1,208,2314,2.0
p1.edf,1,29,1,260,2314,2.0
p1.edf,1,29,1,208,2314,2.0
p1.edf,1,29,2,374,2314,2.0
p1.edf,1,29,2,190,2314,2.0
p1.edf,1,29,2,308,2314,2.0
p1.edf,1,29,2,220,2314,2.0
p1.edf,1,29,1,275,2314,2.0
p1.edf,1,30,3,288,2952,2.0
p1.edf,1,30,1,110,2952,2.0
p1.edf,1,30,1,320,2952,2.0
p1.edf,1,30,1,298,2952,2.0
p1.edf,1,30,2,370,2952,2.0
p1.edf,1,30,2,428,2952,2.0
p1.edf,1,30,1,374,2952,2.0
p1.edf,1,30,1,346,2952,2.0
p1.edf,1,30,1,324,2952,2.0
p1.edf,1,30,1,94,2952,2.0
p1.edf,1,31,3,220,8388,2.0
p1.edf,1,31,1,184,8388,2.0
p1.edf,1,31,1,200,8388,2.0
p1.edf,1,31,1,212,8388,2.0
p1.edf,1,31,1,186,8388,2.0
p1.edf,1,31,2,336,8388,2.0
p1.edf,1,31,2,278,8388,2.0
p1.edf,1,31,2,324,8388,2.0
p1.edf,1,31,1,380,8388,2.0
p1.edf,1,31,1,250,8388,2.0
p1.edf,1,31,1,284,8388,2.0
p1.edf,1,31,1,688,8388,2.0
p1.edf,1,31,1,334,8388,2.0
p1.edf,1,31,1,340,8388,2.0
p1.edf,1,31,1,502,8388,2.0
p1.edf,1,31,1,286,8388,2.0
p1.edf,1,31,2,342,8388,2.0
p1.edf,1,31,2,262,8388,2.0
p1.edf,1,31,2,334,8388,2.0
p1.edf,1,31,2,322,8388,2.0
p1.edf,1,31,2,262,8388,2.0
p1.edf,1,31,2,344,8388,2.0
p1.edf,1,31,2,328,8388,2.0
p1.edf,1,31,2,258,8388,2.0
p1.edf,1,31,2,244,8388,2.0
p1.edf,1,31,2,180,8388,2.0
p1.edf,1,31,1,252,8388,2.0
p1.edf,1,31,1,256,8388,2.0
p1.edf,1,32,3,239,5341,2.0
p1.edf,1,32,0,144,5341,2.0
p1.edf,1,32,1,576,5341,2.0
p1.edf,1,32,1,264,5341,2.0
p1.edf,1,32,1,266,5341,2.0
p1.edf,1,32,1,258,5341,2.0
p1.edf,1,32,2,364,5341,2.0
p1.edf,1,32,2,200,5341,2.0
p1.edf,1,32,2,374,5341,2.0
p1.edf,1,32,2,152,5341,2.0
p1.edf,1,32,1,326,5341,2.0
p1.edf,1,32,1,444,5341,2.0
p1.edf,1,32,1,468,5341,2.0
p1.edf,1,32,1,358,5341,2.0
p1.edf,1,32,2,208,5341,2.0
p1.edf,1,32,2,244,5341,2.0
p1.edf,1,32,2,206,5341,2.0
p1.edf,1,32,2,250,5341,2.0
p1.edf,1,33,3,0,5341,2.0
p1.edf,1,33,2,240,2183,2.0
p1.edf,1,33,1,146,2183,2.0
p1.edf,1,33,1,276,2183,2.0
p1.edf,1,33,1,186,2183,2.0
p1.edf,1,33,1,124,2183,2.0
p1.edf,1,33,2,408,2183,2.0
p1.edf,1,33,2,320,2183,2.0
p1.edf,1,33,2,483,2183,2.0
p1.edf,1,34,3,245,3207,2.0
p1.edf,1,34,1,164,3207,2.0
p1.edf,1,34,1,216,3207,2.0
p1.edf,1,34,1,282,3207,2.0
p1.edf,1,34,1,166,3207,2.0
p1.edf,1,34,2,366,3207,2.0
p1.edf,1,34,2,856,3207,2.0
p1.edf,1,34,2,280,3207,2.0
p1.edf,1,34,2,170,3207,2.0
p1.edf,1,34,1,296,3207,2.0
p1.edf,1,34,1,166,3207,2.0
p1.edf,1,35,3,213,3224,2.0
p1.edf,1,35,1,114,3224,2.0
p1.edf,1,35,1,426,3224,2.0
p1.edf,1,35,1,140,3224,2.0
p1.edf,1,35,2,302,3224,2.0
p1.edf,1,35,2,410,3224,2.0
p1.edf,1,35,2,354,3224,2.0
p1.edf,1,35,2,192,3224,2.0
p1.edf,1,35,1,356,3224,2.0
p1.edf,1,35,2,334,3224,2.0
p1.edf,1,35,2,383,3224,2.0
p1.edf,1,36,3,248,3476,2.0
p1.edf,1,36,0,216,3476,2.0
p1.edf,1,36,1,270,3476,2.0
p1.edf,1,36,1,414,3476,2.0
p1.edf,1,36,1,212,3476,2.0
p1.edf,1,36,2,760,3476,2.0
p1.edf,1,36,1,476,3476,2.0
p1.edf,1,36,1,440,3476,2.0
p1.edf,1,36,2,440,3476,2.0
p1.edf,1,37,3,245,2295,2.0
p1.edf,1,37,1,266,2295,2.0
p1.edf,1,37,1,600,2295,2.0
p1.edf,1,37,2,414,2295,2.0
p1.edf,1,37,2,338,2295,2.0
p1.edf,1,37,1,334,2295,2.0
p1.edf,1,37,1,98,2295,2.0
p1.edf,1,38,3,240,3513,2.0
p1.edf,1,38,1,172,3513,2.0
p1.edf,1,38,1,280,3513,2.0
p1.edf,1,38,1,200,3513,2.0
p1.edf,1,38,1,224,3513,2.0
p1.edf,1,38,2,312,3513,2.0
p1.edf,1,38,2,562,3513,2.0
p1.edf,1,38,2,256,3513,2.0
p1.edf,1,38,2,194,3513,2.0
p1.edf,1,38,1,302,3513,2.0
p1.edf,1,38,1,282,3513,2.0
p1.edf,1,38,1,328,3513,2.0
p1.edf,1,38,1,161,3513,2.0
p1.edf,1,39,3,258,4458,2.0
p1.edf,1,39,1,276,4458,2.0
p1.edf,1,39,1,394,4458,2.0
p1.edf,1,39,2,362,4458,2.0
p1.edf,1,39,2,280,4458,2.0
p1.edf,1,39,1,312,4458,2.0
p1.edf,1,39,1,858,4458,2.0
p1.edf,1,39,2,144,4458,2.0
p1.edf,1,39,2,360,4458,2.0
p1.edf,1,39,2,160,4458,2.0
p1.edf,1,39,2,418,4458,2.0
p1.edf,1,39,2,568,4458,2.0
